pathogen,k,model_type,f1,f1_std,n_pos,n_neg
Meloidogyne javanica,2,NuSVC,0.6953,0.1011,47,47
Meloidogyne javanica,2,LogisticRegression,0.6482,0.1187,47,47
Meloidogyne javanica,2,KNN,0.7128,0.0314,47,47
Meloidogyne javanica,2,RandomForest,0.6096,0.1453,47,47
Meloidogyne javanica,2,MLP,0.6388,0.0814,47,47
Meloidogyne javanica,3,GaussianNB,0.6762,0.0191,47,47
Meloidogyne javanica,3,BernoulliNB,0.5636,0.192,47,47
Meloidogyne javanica,3,SVC_RBF,0.2953,0.185,47,47
Meloidogyne javanica,3,NuSVC,0.3548,0.1671,47,47
Meloidogyne javanica,3,LogisticRegression,0.5528,0.0676,47,47
Meloidogyne javanica,3,KNN,0.6574,0.0269,47,47
Meloidogyne javanica,3,RandomForest,0.6891,0.066,47,47
Meloidogyne javanica,3,MLP,0.5917,0.059,47,47
Meloidogyne javanica,4,GaussianNB,0.6593,0.0454,47,47
Meloidogyne javanica,4,BernoulliNB,0.5345,0.1637,47,47
Meloidogyne javanica,4,SVC_RBF,0.6336,0.1132,47,47
Meloidogyne javanica,4,NuSVC,0.6259,0.1031,47,47
Meloidogyne javanica,4,LogisticRegression,0.6056,0.0936,47,47
Meloidogyne javanica,4,KNN,0.6663,0.0209,47,47
Meloidogyne javanica,4,RandomForest,0.646,0.0442,47,47
Meloidogyne javanica,4,MLP,0.6333,0.0738,47,47
Meloidogyne javanica,5,GaussianNB,0.6487,0.0447,47,47
Meloidogyne javanica,5,BernoulliNB,0.6094,0.0386,47,47
Meloidogyne javanica,5,SVC_RBF,0.6536,0.1083,47,47
Meloidogyne javanica,5,NuSVC,0.6559,0.1078,47,47
Meloidogyne javanica,5,LogisticRegression,0.6866,0.0498,47,47
Meloidogyne javanica,5,KNN,0.6885,0.0323,47,47
Meloidogyne javanica,5,RandomForest,0.7009,0.0709,47,47
Meloidogyne javanica,5,MLP,0.662,0.0532,47,47
Pectobacterium carotovorum,2,GaussianNB,0.6254,0.0407,192,192
Pectobacterium carotovorum,2,BernoulliNB,0.5766,0.0381,192,192
Pectobacterium carotovorum,2,SVC_RBF,0.5871,0.0562,192,192
Pectobacterium carotovorum,2,NuSVC,0.5745,0.0471,192,192
Pectobacterium carotovorum,2,LogisticRegression,0.5821,0.0477,192,192
Pectobacterium carotovorum,2,KNN,0.5764,0.0327,192,192
Pectobacterium carotovorum,2,RandomForest,0.5783,0.0891,192,192
Pectobacterium carotovorum,2,MLP,0.5547,0.0367,192,192
Pectobacterium carotovorum,3,GaussianNB,0.5778,0.0191,192,192
Pectobacterium carotovorum,3,BernoulliNB,0.5379,0.0714,192,192
Pectobacterium carotovorum,3,SVC_RBF,0.5528,0.0424,192,192
Pectobacterium carotovorum,3,NuSVC,0.559,0.0418,192,192
Pectobacterium carotovorum,3,LogisticRegression,0.5849,0.0258,192,192
Pectobacterium carotovorum,3,KNN,0.5409,0.0812,192,192
Pectobacterium carotovorum,3,RandomForest,0.5396,0.0875,192,192
Pectobacterium carotovorum,3,MLP,0.5767,0.0472,192,192
Pectobacterium carotovorum,4,GaussianNB,0.6259,0.0331,192,192
Pectobacterium carotovorum,4,BernoulliNB,0.6034,0.0451,192,192
Pectobacterium carotovorum,4,SVC_RBF,0.5873,0.0378,192,192
Pectobacterium carotovorum,4,NuSVC,0.5489,0.056,192,192
Pectobacterium carotovorum,4,LogisticRegression,0.6301,0.0399,192,192
Pectobacterium carotovorum,4,KNN,0.547,0.0466,192,192
Pectobacterium carotovorum,4,RandomForest,0.5682,0.0461,192,192
Pectobacterium carotovorum,4,MLP,0.5605,0.0363,192,192
Pectobacterium carotovorum,5,GaussianNB,0.5844,0.0701,192,192
Pectobacterium carotovorum,5,BernoulliNB,0.5858,0.0276,192,192
Pectobacterium carotovorum,5,SVC_RBF,0.5957,0.0317,192,192
Pectobacterium carotovorum,5,NuSVC,0.5778,0.0272,192,192
Pectobacterium carotovorum,5,LogisticRegression,0.5669,0.0479,192,192
Pectobacterium carotovorum,5,KNN,0.5041,0.0286,192,192
Pectobacterium carotovorum,5,RandomForest,0.5855,0.0465,192,192
Pectobacterium carotovorum,5,MLP,0.5793,0.0276,192,192
Phytophthora infestans,2,GaussianNB,0.6887,0.026,621,621
Phytophthora infestans,2,BernoulliNB,0.5934,0.0223,621,621
Phytophthora infestans,2,SVC_RBF,0.6929,0.0334,621,621
Phytophthora infestans,2,NuSVC,0.6566,0.0231,621,621
Phytophthora infestans,2,LogisticRegression,0.6283,0.0102,621,621
Phytophthora infestans,2,KNN,0.6339,0.0156,621,621
Phytophthora infestans,2,RandomForest,0.6298,0.0424,621,621
Phytophthora infestans,2,MLP,0.6211,0.0293,621,621
Phytophthora infestans,3,GaussianNB,0.6832,0.0226,621,621
Phytophthora infestans,3,BernoulliNB,0.5989,0.0211,621,621
Phytophthora infestans,3,SVC_RBF,0.6518,0.0338,621,621
Phytophthora infestans,3,NuSVC,0.6406,0.0313,621,621
Phytophthora infestans,3,LogisticRegression,0.6198,0.0312,621,621
